title,abstract,subjects,publisher,uri,doi,language,search_text
Knowledge in Modern Transimperial History,"This volume intervenes in the growing field of transimperial history, which explores interactions across empires—European and non-European—between the mid-1800s and mid-1900s, a period of heightened imperial entanglement. It focuses on how actors from one empire came to know, interpret, and position themselves in relation to actors from other empires, emphasizing the role of socio-professional profiles, informal networks, and formal institutions. The volume is structured around three themes. First, it examines actors, including both individuals (e.g. a Chinese diplomat in Europe) and professional groups (e.g. journalists, military officers). Second, it analyzes formations of transimperial knowledge through diverse textual objects such as bank chops and travelogues, highlighting processes of commensurabilization. Third, it explores causes, noting how specific inter-imperial junctures and enabling factors—like language skills and institutional access—facilitated knowledge creation. Altogether, the volume sheds light on the concrete, situated ways in which transimperial knowledge was produced, mediated, and made meaningful in a competitive imperial world.",,Leiden University Press,https://directory.doabooks.org/handle/20.500.12854/174123,10.24415/9789087284671,eng,"Title: Knowledge in Modern Transimperial History. Abstract: This volume intervenes in the growing field of transimperial history, which explores interactions across empires—European and non-European—between the mid-1800s and mid-1900s, a period of heightened imperial entanglement. It focuses on how actors from one empire came to know, interpret, and position themselves in relation to actors from other empires, emphasizing the role of socio-professional profiles, informal networks, and formal institutions. The volume is structured around three themes. First, it examines actors, including both individuals (e.g. a Chinese diplomat in Europe) and professional groups (e.g. journalists, military officers). Second, it analyzes formations of transimperial knowledge through diverse textual objects such as bank chops and travelogues, highlighting processes of commensurabilization. Third, it explores causes, noting how specific inter-imperial junctures and enabling factors—like language skills and institutional access—facilitated knowledge creation. Altogether, the volume sheds light on the concrete, situated ways in which transimperial knowledge was produced, mediated, and made meaningful in a competitive imperial world.. Subjects: "
MicroRNAs and Polycystic Kidney Disease,"MicroRNAs (miRNAs) are a class of small non protein-coding RNAs that function as inhibitors of post-transcriptional gene expression in plants and animals. Over a thousand different miRNAs are known to be encoded by the human genome, the majority of which are conserved in other species. miRNAs are essential for virtually all aspects of mammalian biology, including development of key organs such the brain, the heart, and the kidney. More importantly, miRNAs are implicated in the pathogenesis of numerous common human diseases, and pharmaceutical manipulation of miRNA function has emerged as an exciting new therapeutic approach for cancer and kidney diseases. Several lines of evidence have connected miRNAs to the pathogenesis of polycystic kidney disease (PKD). miRNAs are aberrantly expressed in cystic kidneys and this aberrant expression is thought to regulate key aspects of cyst pathogenesis such as cyst epithelial cell proliferation and apoptosis as well as dosage of the various cystic kidney disease genes. In this chapter, we briefly discuss the basic biology of miRNAs and their role in kidney development, and highlight the role of three miRNA families – miR-17 and related miRNAs, miR-200 family and miR-21- in the pathogenesis of PKD.",,Exon Publications,https://directory.doabooks.org/handle/20.500.12854/136659.2,10.15586/codon.pkd.2015.ch13,eng,"Title: MicroRNAs and Polycystic Kidney Disease. Abstract: MicroRNAs (miRNAs) are a class of small non protein-coding RNAs that function as inhibitors of post-transcriptional gene expression in plants and animals. Over a thousand different miRNAs are known to be encoded by the human genome, the majority of which are conserved in other species. miRNAs are essential for virtually all aspects of mammalian biology, including development of key organs such the brain, the heart, and the kidney. More importantly, miRNAs are implicated in the pathogenesis of numerous common human diseases, and pharmaceutical manipulation of miRNA function has emerged as an exciting new therapeutic approach for cancer and kidney diseases. Several lines of evidence have connected miRNAs to the pathogenesis of polycystic kidney disease (PKD). miRNAs are aberrantly expressed in cystic kidneys and this aberrant expression is thought to regulate key aspects of cyst pathogenesis such as cyst epithelial cell proliferation and apoptosis as well as dosage of the various cystic kidney disease genes. In this chapter, we briefly discuss the basic biology of miRNAs and their role in kidney development, and highlight the role of three miRNA families – miR-17 and related miRNAs, miR-200 family and miR-21- in the pathogenesis of PKD.. Subjects: "
Gesetzgebung im Rechtsstaat. Selbstbindungen der Verwaltung. Berichte und Diskussionen auf der Tagung der Vereinigung der Deutschen Staatsrechtslehrer in Trier vom 30. September - 3. Oktober 1981,,,De Gruyter,https://directory.doabooks.org/handle/20.500.12854/48564,10.1515/9783110875171,ger,Title: Gesetzgebung im Rechtsstaat. Selbstbindungen der Verwaltung. Berichte und Diskussionen auf der Tagung der Vereinigung der Deutschen Staatsrechtslehrer in Trier vom 30. September - 3. Oktober 1981. Abstract: . Subjects: 
Information Structure in Sign Languages,"This book presents a first comprehensive overview of existing research on information structure in sign languages. Furthermore, it is combined with novel in-depth studies of Russian Sign Language and Sign Language of the Netherlands. The book discusses how topic, focus, and contrast are marked in the visual modality and what implications this has for theoretical and typological study of information structure. Such issues as syntactic and prosodic markers of information structure and their interactions, relations between different notions of information structure, and grammaticalization of markers of information structure are highlighted. Empirical studies of the two sign languages also showcase different methodologies that are used in such research and discuss their advantages and disadvantages. The book contains a general introduction to the field of information structure and thus can be used by linguists new to the field.",,De Gruyter,https://directory.doabooks.org/handle/20.500.12854/132929,10.1515/9781501510045,eng,"Title: Information Structure in Sign Languages. Abstract: This book presents a first comprehensive overview of existing research on information structure in sign languages. Furthermore, it is combined with novel in-depth studies of Russian Sign Language and Sign Language of the Netherlands. The book discusses how topic, focus, and contrast are marked in the visual modality and what implications this has for theoretical and typological study of information structure. Such issues as syntactic and prosodic markers of information structure and their interactions, relations between different notions of information structure, and grammaticalization of markers of information structure are highlighted. Empirical studies of the two sign languages also showcase different methodologies that are used in such research and discuss their advantages and disadvantages. The book contains a general introduction to the field of information structure and thus can be used by linguists new to the field.. Subjects: "
Understanding Statistics and Experimental Design,"This open access textbook provides the background needed to correctly use, interpret and understand statistics and statistical data in diverse settings. Part I makes key concepts in statistics readily clear. Parts I and II give an overview of the most common tests (t-test, ANOVA, correlations) and work out their statistical principles. Part III provides insight into meta-statistics (statistics of statistics) and demonstrates why experiments often do not replicate. Finally, the textbook shows how complex statistics can be avoided by using clever experimental design. Both non-scientists and students in Biology, Biomedicine and Engineering will benefit from the book by learning the statistical basis of scientific claims and by discovering ways to evaluate the quality of scientific reports in academic journals and news outlets.",,Springer Nature,https://directory.doabooks.org/handle/20.500.12854/34734,10.1007/978-3-030-03499-3,eng,"Title: Understanding Statistics and Experimental Design. Abstract: This open access textbook provides the background needed to correctly use, interpret and understand statistics and statistical data in diverse settings. Part I makes key concepts in statistics readily clear. Parts I and II give an overview of the most common tests (t-test, ANOVA, correlations) and work out their statistical principles. Part III provides insight into meta-statistics (statistics of statistics) and demonstrates why experiments often do not replicate. Finally, the textbook shows how complex statistics can be avoided by using clever experimental design. Both non-scientists and students in Biology, Biomedicine and Engineering will benefit from the book by learning the statistical basis of scientific claims and by discovering ways to evaluate the quality of scientific reports in academic journals and news outlets.. Subjects: "
"Chapter 30 Future directions for rural crime research, policy and practice","Building on previous work in rural criminology, this book casts a global and comparative look across 19 countries, drawing on themes of crime and victimisation, safety and fear, practices of policing and police trust, and crime prevention practices. Combining reports on survey findings, country case studies, and crosscutting analyses, 'Crime, Peoples and Places' offers empirical, theoretical, and policy-oriented contributions to the field of rural criminology, adopting the notion of a rural-urban continuum that captures the nuances of places of varied nature, spanning from remote and desolate spaces to accessible and connected environments of the urban fringe. The book examines the challenges of areas on the rural-urban continuum that are in constant transformation, given local and global influences, including the most recent developments in countries of the Global South. It identifies commonalities and disparities between different country cases, draws conclusions over global evidence, and highlights how partnerships, collaboration, and unity in crime prevention action can yield dividends for all people, regardless of age, gender, or whether they live in urban or rural areas.",,Taylor & Francis,https://directory.doabooks.org/handle/20.500.12854/158918,10.4324/9781003395522-34,eng,"Title: Chapter 30 Future directions for rural crime research, policy and practice. Abstract: Building on previous work in rural criminology, this book casts a global and comparative look across 19 countries, drawing on themes of crime and victimisation, safety and fear, practices of policing and police trust, and crime prevention practices. Combining reports on survey findings, country case studies, and crosscutting analyses, 'Crime, Peoples and Places' offers empirical, theoretical, and policy-oriented contributions to the field of rural criminology, adopting the notion of a rural-urban continuum that captures the nuances of places of varied nature, spanning from remote and desolate spaces to accessible and connected environments of the urban fringe. The book examines the challenges of areas on the rural-urban continuum that are in constant transformation, given local and global influences, including the most recent developments in countries of the Global South. It identifies commonalities and disparities between different country cases, draws conclusions over global evidence, and highlights how partnerships, collaboration, and unity in crime prevention action can yield dividends for all people, regardless of age, gender, or whether they live in urban or rural areas.. Subjects: "
Professional Tennis and Transnational Law,"The intersection of professional tennis and law (domestic, international and transnational) offers unique insights that should appeal to sports lawyers, academics, as well as tennis players. . Enhance your collection with this engaging, timely, and authoritative resource.",,Cambridge University Press,https://directory.doabooks.org/handle/20.500.12854/171327,10.1017/9781009597616,eng,"Title: Professional Tennis and Transnational Law. Abstract: The intersection of professional tennis and law (domestic, international and transnational) offers unique insights that should appeal to sports lawyers, academics, as well as tennis players. . Enhance your collection with this engaging, timely, and authoritative resource.. Subjects: "
Bio-Inspired Materials for Biomedical Applications,"Evolved in a huge number of different materials and structures, nature represents a great inspiration for scientists and researchers, which continuously focuses attention on the development of novel approaches and functional biomaterials to mimic the complex architectures and functions of the human body. Bioinspired engineering is considered today as a valuable tool for the design of clinically relevant materials and structures for regenerative sciences and, in this direction, many progresses have been recently made by the scientific research in the biomedical field. This book aims at collecting some recent works addressed to the definition of novel bioinspired approaches in bioengineering and biotechnology, presenting interesting scientific results and a comprehensive overview of attracting materials in research papers and review articles.",,MDPI - Multidisciplinary Digital Publishing Institute,https://directory.doabooks.org/handle/20.500.12854/76314,10.3390/books978-3-0365-0529-9,eng,"Title: Bio-Inspired Materials for Biomedical Applications. Abstract: Evolved in a huge number of different materials and structures, nature represents a great inspiration for scientists and researchers, which continuously focuses attention on the development of novel approaches and functional biomaterials to mimic the complex architectures and functions of the human body. Bioinspired engineering is considered today as a valuable tool for the design of clinically relevant materials and structures for regenerative sciences and, in this direction, many progresses have been recently made by the scientific research in the biomedical field. This book aims at collecting some recent works addressed to the definition of novel bioinspired approaches in bioengineering and biotechnology, presenting interesting scientific results and a comprehensive overview of attracting materials in research papers and review articles.. Subjects: "
Emerging Marine Biotoxins,"The emergence of marine and freshwater toxins in geographical areas where they have never been reported before is a concern due to the considerable impact on (sea)food contamination, and consequently, on public health. Several groups of marine biotoxins, in particular tetrodotoxins, ciguatoxins, and palytoxins, are included among the relevant marine biotoxins that have recently emerged in several coastal areas. A similar situation has been observed in freshwater, where cyanobacterial toxins, such as microcystins, could end up in unexpected areas such as the estuaries where shellfish are cultivated. Climate change and the increased availability of nutrients have been considered as the key factors in the expansion of all of these toxins into new areas; however, this could also be due to more intense biological invasions, more sensitive analytical methods, or perhaps even an increased scientific interest in these natural contaminations. The incidences of human intoxications due to the consumption of seafood contaminated with these toxins have made their study an important task to accomplish in order to protect human health. This Special Issue has a focus on a wide variety of emerging biotoxin classes and techniques to identify and quantify them.",,MDPI - Multidisciplinary Digital Publishing Institute,https://directory.doabooks.org/handle/20.500.12854/46256,10.3390/books978-3-03921-349-8,eng,"Title: Emerging Marine Biotoxins. Abstract: The emergence of marine and freshwater toxins in geographical areas where they have never been reported before is a concern due to the considerable impact on (sea)food contamination, and consequently, on public health. Several groups of marine biotoxins, in particular tetrodotoxins, ciguatoxins, and palytoxins, are included among the relevant marine biotoxins that have recently emerged in several coastal areas. A similar situation has been observed in freshwater, where cyanobacterial toxins, such as microcystins, could end up in unexpected areas such as the estuaries where shellfish are cultivated. Climate change and the increased availability of nutrients have been considered as the key factors in the expansion of all of these toxins into new areas; however, this could also be due to more intense biological invasions, more sensitive analytical methods, or perhaps even an increased scientific interest in these natural contaminations. The incidences of human intoxications due to the consumption of seafood contaminated with these toxins have made their study an important task to accomplish in order to protect human health. This Special Issue has a focus on a wide variety of emerging biotoxin classes and techniques to identify and quantify them.. Subjects: "
Powers of the Prosecutor in Criminal Investigation,"This comparative analysis examines the scope of prosecutorial powers at different phases of criminal investigation in four countries: the United States, Italy, Poland, and Germany. Since in all four the number of criminal cases decided without trial is constantly increasing, criminal investigation has become central in the criminal process. The work asks: who should be in charge of this stage of the process? Prosecutors have gained tremendous powers to influence the outcome of the criminal cases, including powers once reserved for judges. In a system in which the role of the trial is diminishing and the significance of criminal investigation is growing, this book questions whether the prosecutor's powers at the early stage of the process should be enhanced. Using a problem-oriented approach, the book provides a parallel analysis of each country along five possible spheres of prosecutorial engagement: commencing criminal investigation; conducting criminal investigation, undertaking initial charging decisions; imposing coercive measures; and discontinuing criminal investigation. Using the competing adversarial–inquisitorial models as a framework, the focus is on the prosecutor as a crucial figure in the criminal process and investigation. The insights of this book will be of interest and relevance to students and academics in criminal justice, criminology, law, and public policy, as well as policymakers, government officials, and others interested in legal reform.",,Taylor & Francis,https://directory.doabooks.org/handle/20.500.12854/98199,10.4324/9781003018247,eng,"Title: Powers of the Prosecutor in Criminal Investigation. Abstract: This comparative analysis examines the scope of prosecutorial powers at different phases of criminal investigation in four countries: the United States, Italy, Poland, and Germany. Since in all four the number of criminal cases decided without trial is constantly increasing, criminal investigation has become central in the criminal process. The work asks: who should be in charge of this stage of the process? Prosecutors have gained tremendous powers to influence the outcome of the criminal cases, including powers once reserved for judges. In a system in which the role of the trial is diminishing and the significance of criminal investigation is growing, this book questions whether the prosecutor's powers at the early stage of the process should be enhanced. Using a problem-oriented approach, the book provides a parallel analysis of each country along five possible spheres of prosecutorial engagement: commencing criminal investigation; conducting criminal investigation, undertaking initial charging decisions; imposing coercive measures; and discontinuing criminal investigation. Using the competing adversarial–inquisitorial models as a framework, the focus is on the prosecutor as a crucial figure in the criminal process and investigation. The insights of this book will be of interest and relevance to students and academics in criminal justice, criminology, law, and public policy, as well as policymakers, government officials, and others interested in legal reform.. Subjects: "
Chapter I santuari gesuati,"The historical studies on shrines paid little attention to Yesuati’s shrines and this paper starts analyzing the causes of this phenomenon. The essay presents four shrines managed by the povari di Cristo, highlighting both the similarities and the differences in their management of the shrines of central Italy, between XVth and XVIth centuries. From the comparison between these case studies emerges a substantially positive experience of the Yesuati inside Marian shrines – despite the obstacle represented by their impossibility to exercise the function of priests –, both for practical reasons (give assistance to the poor people ) and for spiritual reasons (the povari’s ecclesiology and mariology).",,Firenze University Press,https://directory.doabooks.org/handle/20.500.12854/82909,10.36253/978-88-5518-228-7.20,ita,"Title: Chapter I santuari gesuati. Abstract: The historical studies on shrines paid little attention to Yesuati’s shrines and this paper starts analyzing the causes of this phenomenon. The essay presents four shrines managed by the povari di Cristo, highlighting both the similarities and the differences in their management of the shrines of central Italy, between XVth and XVIth centuries. From the comparison between these case studies emerges a substantially positive experience of the Yesuati inside Marian shrines – despite the obstacle represented by their impossibility to exercise the function of priests –, both for practical reasons (give assistance to the poor people ) and for spiritual reasons (the povari’s ecclesiology and mariology).. Subjects: "
The Gender-Sensitive University,"The Gender-Sensitive University explores the prevailing forces that pose obstacles to driving a gender-sensitive university, which include the emergence of far-right movements that seek to subvert advances towards gender equality and managerialism that promotes creeping corporatism. This book demonstrates that awareness of gender equality and gender sensitivity are essential for pulling contemporary academia back from the brink. New forms of leadership are fundamental to reforming our institutions. The concept of a gender-sensitive university requires re-envisioning academia to meet these challenges, as does a different engagement of men and a shift towards fluidity in how gender is formulated and performed. Academia can only be truly gender sensitive if, learning from the past, it can avoid repeating the same mistakes and addressing existing and new biases. The book chapters analyse these challenges and advocate the possibilities to ‘fix it forward’ in all areas. Representing ten EU countries and multiple disciplines, contributors to this volume highlight the evidence of persistent gender inequalities in academia, while advocating a blueprint for addressing them. The book will be of interest to a global readership of students, academics, researchers, practitioners, academic and political leaders and policymakers who share an interest in what it takes to establish gender-sensitive universities. This book is available for free in PDF format as Open Access from the individual product page at www.routledge.com. It has been made available under a Creative Commons Attribution-Non Commercial-No Derivatives 4.0 license",,Taylor & Francis,https://directory.doabooks.org/handle/20.500.12854/159588,10.4324/9781003001348,eng,"Title: The Gender-Sensitive University. Abstract: The Gender-Sensitive University explores the prevailing forces that pose obstacles to driving a gender-sensitive university, which include the emergence of far-right movements that seek to subvert advances towards gender equality and managerialism that promotes creeping corporatism. This book demonstrates that awareness of gender equality and gender sensitivity are essential for pulling contemporary academia back from the brink. New forms of leadership are fundamental to reforming our institutions. The concept of a gender-sensitive university requires re-envisioning academia to meet these challenges, as does a different engagement of men and a shift towards fluidity in how gender is formulated and performed. Academia can only be truly gender sensitive if, learning from the past, it can avoid repeating the same mistakes and addressing existing and new biases. The book chapters analyse these challenges and advocate the possibilities to ‘fix it forward’ in all areas. Representing ten EU countries and multiple disciplines, contributors to this volume highlight the evidence of persistent gender inequalities in academia, while advocating a blueprint for addressing them. The book will be of interest to a global readership of students, academics, researchers, practitioners, academic and political leaders and policymakers who share an interest in what it takes to establish gender-sensitive universities. This book is available for free in PDF format as Open Access from the individual product page at www.routledge.com. It has been made available under a Creative Commons Attribution-Non Commercial-No Derivatives 4.0 license. Subjects: "
